city,lat,lon
東京,35.6895,139.6917
横浜,35.4437,139.6380
川崎,35.5308,139.7029
さいたま,35.8617,139.6455
千葉,35.6074,140.1065
大阪,34.6937,135.5023
京都,35.0116,135.7681
神戸,34.6901,135.1955
名古屋,35.1815,136.9066
札幌,43.0618,141.3545
仙台,38.2682,140.8694
広島,34.3853,132.4553
福岡,33.5902,130.4017
北九州,33.8834,130.8751
熊本,32.8031,130.7079
鹿児島,31.5966,130.5571
那覇,26.2124,127.6809
新潟,37.9161,139.0364
金沢,36.5613,136.6562
長野,36.6486,138.1948
静岡,34.9756,138.3828
浜松,34.7108,137.7261
岡山,34.6551,133.9195
高松,34.3401,134.0434
松山,33.8392,132.7657
長崎,32.7503,129.8777
大分,33.2396,131.6093
宮崎,31.9111,131.4239
青森,40.8222,140.7474
盛岡,39.7036,141.1527
秋田,39.7186,140.1024
山形,38.2554,140.3396
福島,37.7608,140.4747
水戸,36.3659,140.4712
宇都宮,36.5551,139.8828
前橋,36.3907,139.0605
甲府,35.6639,138.5683
富山,36.6953,137.2113
福井,36.0652,136.2216
岐阜,35.4233,136.7607
津,34.7191,136.5050
奈良,34.6851,135.8048
和歌山,34.2260,135.1675
鳥取,35.5011,134.2351
松江,35.4681,133.0484
徳島,34.0703,134.5548
高知,33.5597,133.5311
佐賀,33.2494,130.2988
